chunk_id,partial_order,chunk_size,resolution_size
1005160,False,21,10
1155275,False,61,53
826948,False,56,29
946483,False,52,43
1108391,False,82,48
1384446,False,16,8
996525,False,14,5
1466045,False,20,9
1052371,False,76,69
936934,False,27,19
976350,False,18,6
936950,False,27,19
977668,False,16,7
778801,False,48,40
1161479,False,10,3
1171213,False,21,8
964065,False,15,6
1136105,False,53,49
972115,False,226,120
1035970,False,15,5
823932,False,29,22
791115,False,13,7
976037,False,16,3
794240,False,217,143
1288345,False,13,4
1052560,False,23,2
1466039,False,17,7
1161169,False,19,11
1161195,False,18,11
777310,False,15,6
