chunk_id,has_duplication,chunk_size,resolution_size
783342,False,14,5
783363,False,11,2
783364,False,11,2
783398,False,14,7
783392,False,11,3
783393,False,10,3
783420,False,11,3
783433,False,15,7
783512,False,11,4
783514,False,13,5
783525,False,27,14
783545,False,11,2
783552,False,10,3
783555,False,11,3
783558,False,11,3
783563,False,11,3
783607,False,17,8
783954,False,15,4
784003,False,10,2
784004,False,18,3
784012,False,15,6
784025,False,442,213
784115,False,255,128
784145,False,18,11
784197,False,35,24
784301,False,104,52
784318,False,25,16
784323,False,45,36
784341,False,12,3
784355,False,11,2
784359,False,38,29
784466,False,73,51
784478,False,11,3
784493,False,475,236
785547,False,17,8
786562,False,119,73
786223,False,27,19
786381,False,57,23
786461,False,28,19
786466,False,12,4
786468,False,40,13
786501,False,39,32
786879,False,10,3
787045,False,150,8
787439,False,10,3
787384,False,23,17
787433,False,17,7
787623,False,32,14
787631,False,20,12
787656,False,20,4
787675,False,9,2
787686,False,10,2
787688,False,11,2
787696,False,52,23
787723,False,11,4
787689,False,10,3
787692,False,10,3
787694,False,10,3
787697,False,10,3
787699,False,10,3
787701,False,10,3
787704,False,10,3
787708,False,10,3
787710,False,10,3
787714,False,10,3
787715,False,10,3
787720,False,41,34
788175,False,10,3
788192,False,12,4
788198,False,29,15
788206,False,22,9
788230,False,11,3
788259,False,28,21
788278,False,11,3
788297,False,168,103
789158,False,14,4
789169,False,14,7
787818,False,41,19
787831,False,10,3
787843,False,32,21
788349,False,17,8
788358,False,14,4
788389,False,61,8
788406,False,10,4
788428,False,9,2
788486,False,9,2
788488,False,16,8
788494,False,22,10
788499,False,21,9
788543,False,20,13
788554,False,20,13
788568,False,27,16
788662,False,11,4
788667,False,10,3
788752,False,20,7
788783,False,27,11
788812,False,22,10
788835,False,10,2
788896,False,17,13
788902,False,21,2
789026,False,12,5
789028,False,14,6
789131,False,12,4
789137,False,11,3
789159,False,10,2
789162,False,12,4
789206,False,12,5
789223,False,11,4
789225,False,15,2
789229,False,11,3
789233,False,13,2
789320,False,16,5
789330,False,86,78
789475,False,12,4
789482,False,11,3
789495,False,14,6
789500,False,11,3
789503,False,14,5
789533,False,22,8
789541,False,29,13
789551,False,13,4
789554,False,12,4
789610,False,10,2
789613,False,58,51
789646,False,11,5
789657,False,19,10
789669,False,10,4
789675,False,10,3
789677,False,20,5
789785,False,22,4
789879,False,20,7
789892,False,42,24
789900,False,83,6
789981,False,23,9
790032,False,12,2
790096,False,17,6
790149,False,10,2
790152,False,11,3
